[17:37:19.6700383] [Info   : Unity Log] ADDING ENEMY #0: Centipede
[17:37:19.6700383] [Info   : Unity Log] Adding 1 to power level, enemy: Centipede
[17:37:19.6700383] [Info   : Unity Log] Adding 1 to diversity level for enemy 'Centipede'
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 0
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #0 'Centipede' : probability: 39
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 1
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #1 'Bunker Spider' : probability: 61
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 2
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #2 'Hoarding bug' : probability: 22
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 3
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #3 'Flowerman' : probability: 2
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 4
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #4 'Blob' : probability: 31
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 5
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #5 'Spring' : probability: 33
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 6
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #6 'Puffer' : probability: 9
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 7
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #7 'Nutcracker' : probability: 8
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 8
