[20:38:37.3970986] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Player Notice Zone Size"
[20:38:37.3990982] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Damage Multiplier"
[20:38:37.4010979] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Speed Multiplier"
[20:38:37.4010979] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Charge Distance"
[20:38:37.4037054] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Charge Cooldown"
[20:38:37.4057061] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Dont Remove Save After Fire"
[20:38:37.4067052] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Yeet After Latch On"
[20:38:37.4087083] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Randomize Generation Models"
[20:38:37.4107051] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Add Collision To Ghost Sprites"
[20:38:37.4117060] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Funi Onion"
[20:38:37.4142148] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Giant Whistle With Pikmin Signal"
[20:38:37.4152183] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Ragdoll On Knockback"
[20:38:37.4172193] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Ragdoll On Death"
[20:38:37.4172193] [Info   : LethalMin] LethalMin: Patching Config Patches
[20:38:37.4172193] [Debug  : LethalMin] Patching config-conditional patches...
[20:38:37.4182194] [Debug  : LethalMin] Skipping config patch LethalMin.ConfigPatches.DontTouchMeUpdateTranspiler: Kittenji.DontTouchMe not loaded
[20:38:37.4276288] [Debug  : LethalMin] Patched config patch: LethalMin.ConfigPatches.DontTouchMeUpdateTranspiler+<UpdateTranspiler>d__0
[20:38:37.4296291] [Info   : LethalMin] ShotgunItemPatch: Increased enemyColliders array size from 10 to 127
[20:38:37.4336471] [Debug  : LethalMin] Patched config patch: LethalMin.ConfigPatches.ShotgunItemPatch
[20:38:37.4336471] [Debug  : LethalMin] Finished patching config-conditional patches!
[20:38:37.4336471] [Info   : LethalMin] LethalMin: Loading AssetBundle
[20:38:40.2555306] [Info   : LethalMin] LethalMin: Loading Miscellaneous Assets
[20:38:40.3602242] [Info   : LethalMin] LethalMin: Registering Pikmin As Enemies
[20:38:40.3647348] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Pikmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[20:38:40.3747478] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Puffmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[20:38:40.3757494] [Info   : LethalMin] LethalMin: Registering Items
[20:38:40.3978515] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[20:38:40.4315373] [Info   : LethalMin] Registering 10 Pikmin Types
[20:38:40.4325414] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[20:38:40.4330453] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[20:38:40.4445993] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
