[10:31:26.4613644] [Info   : Unity Log] Landmine creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.4613644] [Debug  :Buttery Fixes] Landmine #-348920: Nudged radar dot upwards
[10:31:26.4613644] [Debug  :ReXuvination] Optimised Collider layers in Landmine for Object: Landmine (UnityEngine.GameObject)
[10:31:26.4613644] [Info   : Unity Log] Landmine creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.4613644] [Debug  :Buttery Fixes] Landmine #-349054: Nudged radar dot upwards
[10:31:26.4628693] [Debug  :ReXuvination] Optimised Collider layers in Landmine for Object: Landmine (UnityEngine.GameObject)
[10:31:26.4658768] [Info   : Unity Log] TurretScript creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.4673823] [Info   : Unity Log] TurretScript creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.4683899] [Warning: LethalMin] Pikmin Item MedKitMap(Clone) does not exist in the PikminManager.
[10:31:26.4683899] [Warning: LethalMin] Pikmin Item MedKitMap(Clone) does not exist in the PikminManager.
[10:31:26.4683899] [Warning: LethalMin] Pikmin Item MedKitMap(Clone) does not exist in the PikminManager.
[10:31:26.4683899] [Warning: LethalMin] Pikmin Item ScavExtract(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Heart(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Heart(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Heart(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Crucifix(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Crucifix(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Crucifix(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item candelabra(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item candelabra(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item candelabra(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Teddy Bear(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Teddy Bear(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Teddy Bear(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Bones(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Bones(Clone) does not exist in the PikminManager.
[10:31:26.4693991] [Warning: LethalMin] Pikmin Item Bones(Clone) does not exist in the PikminManager.
[10:31:26.5114693] [Debug  :Matty's Fixes] LethalLevelLoader/CodeRebirth/Charred Spork(472) needs to compute vertical offset - scheduled
